Nome,Cor,Tipo,Subtitulo,Numero na coleção,Raridade,Sigla,Lingua,Ano,Artista,Empresa,Foil
Artesão Braçoluz,Branco,Criatura,Anão Artesão,17,C,KLD,PT,2016,Ryan Pancoast,Wizards of the Coast,Não
Artesão Braçoluz,Branco,Criatura,Anão Artesão,17,C,KLD,PT,2016,Ryan Pancoast,Wizards of the Coast,Não
Manobra Acrobática,Branco,Mágica Instantânea,,1,C,KLD,PT,2016,Winona Nelson,Wizards of the Coast,Não
Planície,Branco,Terreno Básico,Planície,252,L,KLD,PT,2016,Clint Cearley,Wizards of the Coast,Não
Planície,Branco,Terreno Básico,Planície,285,L,SOI,PT,2016,Andreas Rocha,Wizards of the Coast,Não
Plains,Branco,Basic Land,Plains,251,L,KLD,EN,2016,John Ayon,Wizards of the Coast,Não
Sincronização Impecável,Branco,Mágica Instantânea,,19,C,KLD,PT,2016,Chris Rallis,Wizards of the Coast,Não
Patrulheiro da Nona Ponte,Branco,Criatura,Anão Soldado,22,C,KLD,PT,2016,Ryan Alexander Lee,Wizards of the Coast,Não
Sincronização Impecável,Branco,Mágica Instantânea,,19,C,KLD,PT,2016,Chris Rallis,Wizards of the Coast,Não
Feito Para Durar,Branco,Mágica Instantânea,,7,C,KLD,PT,2016,Svetlin Velinov,WIzards of the Coast,Não
Plains,Branco,Basic Land,Plains,252,L,KLD,EN,2016,Clint Cearley,WIzards of the Coast,Não
SIncronização Impecável,Branco,Mágica Instantânea,,19,C,KLD,PT,2016,Chris Rallis,WIzards of the Coast,Não
Artesão Braçoluz,Branco,Criatura,Anão Artesão,17,C,KLD,PT,2016,Ryan Pancoast,WIzards of the Coast,Não
Artesão Braçoluz,Branco,Criatura,Anão Artesão,17,C,KLD,PT,2016,Ryan Pancoast,Wizards of the Coast,Não
Patrulheiro da Nona Ponte,Branco,Criatura,Anão Soldado,22,C,KLD,PT,2016,Ryan Alexander Lee,Wizards of the Coast,Não
Planície,Branco,Terreno Básico,Planície,251,L,KLD,PT,2016,John Ayon,Wizards of the Coast,Não
Anjo Subjugador,Branco,Criatura,Anjo,45,U,EMN,PT,2016,Lius Lasahido,Wizards of the Coast,Não
Plains,Branco,Basic Land,Plains,251,L,KLD,EN,2016,John Ayon,Wizards of the Coast,Não
Mecanica do Aviario,Branco,Criatura,Anão Artesão,6,C,KLD,PT,2016,Mark Zug,Wizards of the Coast,Não
Plains,Branco,Basic Land,Plains,251,L,KLD,EN,2016,John Ayon,Wizards of the Coast,Não
Planície,Branco,Terreno Básico,Planície,283,L,SOI,PT,2016,Jonas De Ro,Wizards of the Coast,Não
Planície,Branco,Terreno Básico,Planície,251,L,KLD,PT,2016,John Ayon,Wizards of the Coast,Não
Planície,Branco,Terreno Básico,Planície,251,L,KLD,PT,2016,John Ayon,Wizards of the Coast,Não
Mecanica do Aviario,Branco,Criatura,Anão Artesão,6,C,KLD,PT,2016,Mark Zug,Wizards of the Coast,Não
Mecanica do Aviario,Branco,Criatura,Anão Artesão,6,C,KLD,PT,2016,Mark Zug,Wizards of the Coast,Não
Mecanica do Aviario,Branco,Criatura,Anão Artesão,6,C,KLD,PT,2016,Mark Zug,Wizards of the Coast,Não
Manobra Acrobática,Branco,Mágica Instantânea,,1,C,KLD,PT,2016,Winona Nelson,Wizards of the Coast,Não
Plains,Branco,Basic Land,Plains,252,L,BFZ,EN,2015,Adam Paquette,Wizards of the Coast,Não
Sincronização Impecável,Branco,Mágica Instantânea,,19,C,KLD,PT,2016,Chris Rallis,Wizards of the Coast,Não
Patrulheiro da Nona Ponte,Branco,Criatura,Anão Soldado,22,C,KLD,PT,2016,Ryan Alexander Lee,Wizards of the Coast,Não
Feito Para Durar,Branco,Mágica Instantânea,,7,C,KLD,PT,2016,Svetlin Velinov,WIzards of the Coast,Não
Servus,,Criatura Artefato Ficha,Servus,4,T,KLD,PT,2016,Igor Kieryluk,WIzards of the Coast,Não
Servus,,Criatura Artefato Ficha,Servus,4,T,KLD,PT,2016,Igor Kieryluk,WIzards of the Coast,Não
Servus,,Criatura Artefato Ficha,Servus,4,T,KLD,PT,2016,Igor Kieryluk,WIzards of the Coast,Não
Servus,,Criatura Artefato Ficha,Servus,4,T,KLD,PT,2016,Igor Kieryluk,WIzards of the Coast,Não
Servus,,Criatura Artefato Ficha,Servus,5,T,KLD,PT,2016,Victor Adameminguez,WIzards of the Coast,Não
Modulo de Decocção,,Artefato,,205,U,KLD,PT,2016,Aaron Miller,WIzards of the Coast,Não
Modulo de Decocção,,Artefato,,205,U,KLD,PT,2016,Aaron Miller,WIzards of the Coast,Não
Modulo de Fabricação,,Artefato,,211,U,KLD,PT,2016,Aaron Miller,Wizards of the Coast,Não
Modulo de Fabricação,,Artefato,,211,U,KLD,PT,2016,Aaron Miller,Wizards of the Coast,Não
Fretista Renegado,,Artefato,Veículo,230,C,KLD,PT,2016,Izzy ,Wizards of the Coast,Não
Fretista Renegado,,Artefato,Veículo,230,C,KLD,PT,2016,Izzy ,Wizards of the Coast,Não
Serra Óssea,,Artefato,Equipamento,161,C,OGW,PT,2016,Kev Walker,Wizards of the Coast,Não
Serra Óssea,,Artefato,Equipamento,161,C,OGW,PT,2016,Kev Walker,Wizards of the Coast,Não
